"Attained Age","Policies","Exposure","Deaths_Num","Deaths_Amt","EDeaths_Num_QX2001VBT","EDeaths_Amt_QX2001VBT","EDeaths_Num_QX2008VBT","EDeaths_Amt_QX2008VBT","EDeaths_Num_QX2008VBTLU","EDeaths_Amt_QX2008VBTLU","EDeaths_Num_QX2015VBT","EDeaths_Amt_QX2015VBT","EDeaths_Num_QX7580E","EDeaths_Amt_QX7580E","Deaths_Num_Cap","AE_Num_QX2001VBT","AE_Amt_QX2001VBT","AE_Num_QX2008VBT","AE_Amt_QX2008VBT","AE_Num_QX2008VBTLU","AE_Amt_QX2008VBTLU","AE_Num_QX2015VBT","AE_Amt_QX2015VBT","AE_Num_QX7580E","AE_Amt_QX7580E","Cred_AE_Num_QX2001VBT","Cred_AE_Amt_QX2001VBT","Cred_AE_Num_QX2008VBT","Cred_AE_Amt_QX2008VBT","Cred_AE_Num_QX2008VBTLU","Cred_AE_Amt_QX2008VBTLU","Cred_AE_Num_QX2015VBT","Cred_AE_Amt_QX2015VBT","Cred_AE_Num_QX7580E","Cred_AE_Amt_QX7580E"
0,405783.671583,28317681931.9193,212,10222834,227.76051798555,16944581.6383347,171.70439546061,12442501.3977487,171.70439546061,12442501.3977487,90.58208113543,6567445.21023277,413.69186961199,29533396.6851779,212,0.930802238575213,0.603309908630159,1.2346800990813,0.821606015800785,1.2346800990813,0.821606015800785,2.34041873781898,1.55659220180044,0.512458705555029,0.34614487825339,0.981626442133019,0.894669882392596,1.06231283052972,0.952632395552734,1.06231283052972,0.952632395552734,1.35591124247671,1.14778771476887,0.87054685004855,0.826386798233475
1,584594.134162,42519124031.2062,107,11897345,195.31709277703,14712281.572894,174.31728177724,13040185.3340456,174.31728177724,13040185.3340456,76.92256316867,5740237.64727597,282.90198916445,20512421.1097957,107,0.547827117835248,0.808667570767521,0.613823247523646,0.912360115690855,0.613823247523646,0.912360115690855,1.39100929028299,2.07262237751531,0.378222861974298,0.580006862004137,0.914703799125462,0.963907766340396,0.927153062132775,0.983467940092147,0.927153062132775,0.983467940092147,1.07375852972014,1.20233547252339,0.882710286803727,0.920774065678335
2,690214.099024,49886823466.5818,87,7094942,154.45850850076,11560538.5749997,158.1895188724,11638049.7310565,158.1895188724,11638049.7310565,68.77585294198,5069753.39250938,254.3030018094,18375396.6509533,87,0.563258060979994,0.613720714997065,0.549973225913764,0.609633243022405,0.549973225913764,0.609633243022405,1.26497885927193,1.39946491489761,0.342111573127267,0.386110957753499,0.925712146446609,0.93429561855361,0.923452455325359,0.933600357823352,0.923452455325359,0.933600357823352,1.04507172069737,1.06794719821096,0.888096116393911,0.895580215239301
3,768222.592077,54841058514.3677,96,5490207,116.01083446159,8383451.71910323,137.68856973341,10043793.2700957,137.68856973341,10043793.2700957,65.42041664331,4659345.90141512,253.34681882949,18109341.0307252,96,0.827508917124328,0.654886219179811,0.697225631625584,0.546626842305339,0.697225631625584,0.546626842305339,1.46743180379633,1.17832140308204,0.37892719728449,0.303169893961633,0.96917979301192,0.938336069424624,0.945901152984757,0.918992597588015,0.945901152984757,0.918992597588015,1.08351936057007,1.03186195171234,0.889028510835221,0.875492415343536
4,832720.260016,58432663121.6036,69,4315602,107.26577910985,7514587.97989957,122.79342135673,8662298.6780237,122.79342135673,8662298.6780237,64.88309689445,4485580.82961504,238.95211656146,16754057.1285227,69,0.643262003712644,0.574296556450415,0.561919353965605,0.498205171676741,0.561919353965605,0.498205171676741,1.06345108822791,0.962105502927784,0.288760781837447,0.257585489108364,0.945961012911097,0.935514065983744,0.933639156407993,0.923987675741733,0.933639156407993,0.923987675741733,1.00961162694529,0.994259708078933,0.8922608543878,0.887538393481442
5,893552.36079,61732330649.3707,67,4706128,114.78190219534,7912962.18345428,120.76084658715,8331742.28916115,120.76084658715,8331742.28916115,71.5717074502,4937171.55294706,224.39332753171,15433487.9027011,67,0.58371571405026,0.594736571576235,0.554815587117036,0.564843202858333,0.554815587117036,0.564843202858333,0.936124096894279,0.953203256060822,0.298582853318274,0.304929645824024,0.937861508691988,0.939506585104186,0.933547605076473,0.935044420917501,0.933547605076473,0.935044420917501,0.990465284460905,0.993014679716114,0.895299907434807,0.89624728912627
6,947724.527699,64249241832.3345,76,5369543,124.854485595,8399189.06049863,118.59104113687,8028958.47637104,118.59104113687,8028958.47637104,73.11692115812,5015304.4120317,217.79873654384,14619058.6851202,76,0.608708606966088,0.639293027139126,0.640857852932464,0.668772047557897,0.640857852932464,0.668772047557897,1.03943107554604,1.07063152280816,0.348946009540795,0.367297451611254,0.937792839618137,0.942655123748996,0.94290389837279,0.947341672402346,0.94290389837279,0.947341672402346,1.00626871759561,1.0112289371695,0.896496011098722,0.899413507165436
7,997246.24789,65972554907.84,72,3514233,135.8618866231,8905215.09138615,116.86105877645,7784794.48814936,116.86105877645,7784794.48814936,74.83094868705,4946746.6897506,210.0504060538,13715642.8648407,72,0.529949949832054,0.394626403061196,0.616116273066914,0.451422706835697,0.616116273066914,0.451422706835697,0.962168745195397,0.710412968442736,0.342774867007678,0.256220800922759,0.927264967448036,0.906325149282059,0.940598250410417,0.915113747437497,0.940598250410417,0.915113747437497,0.994146032856052,0.955189618298268,0.898301699095479,0.884908417227001
8,1045935.941934,67316694506.3227,89,5110213,143.76962055062,9163167.59178872,109.85432321471,7066566.80255188,109.85432321471,7066566.80255188,78.47624495669,5047065.9673622,216.76006707936,13661384.618385,89,0.61904594071502,0.557690661969269,0.810163836939305,0.723153568456269,0.810163836939305,0.723153568456269,1.13410115442091,1.01251163211382,0.410592233150654,0.374062596343483,0.934460836373342,0.923905302037721,0.96734067258282,0.952371465445318,0.96734067258282,0.952371465445318,1.02307070180224,1.00215249551582,0.898598555041345,0.892314012888359
9,1097439.6679,69079419220.7451,69,3777744,153.67299241549,9552719.91682971,109.74396679,6907941.92207451,109.74396679,6907941.92207451,82.34481038834,5180867.98517753,235.75530471763,14554840.5816203,69,0.449005377688246,0.395462657011903,0.628736157606136,0.546869681681619,0.628736157606136,0.546869681681619,0.837939873497728,0.729172024998153,0.292676341186227,0.25955241342667,0.916534847448165,0.908424148780107,0.943760624899799,0.931359418744189,0.943760624899799,0.931359418744189,0.975450988751341,0.958974738893107,0.892853986779911,0.887836344916243
